Title,Publisher,TV Format,MD5,Bankswitch Type,7800 Detected,7800 works,7800 plays through,notes
Fast Eddie,,NTSC,9de0d45731f90a0a922ab09228510393,4K,,,,
Fast Food,Telesys,NTSC,665b8f8ead0eef220ed53886fbd61ec9,4K,,,,
Fatal Run,Ultimate Driving,PAL,074ec425ec20579e64a7ded592155d48,F4SC,,,,
Fathom,Imagic,NTSC,0b55399cf640a2a00ba72dd155a0c140,F8,,,,
Fighter Pilot,Activision ,PAL,2ac3a08cfbf1942ba169c3e9e6c47e09,F6,,,,
Final Approach,Apollo,NTSC,211fbbdbbca1102dc5b43dc8157c09b3,4K,,,,
Fire Birds,ITT Family Games ,PAL,01e60a109a6a67c70d3c0528381d0187,4K,,,,
Fire Fighter,Imagic,NTSC,d09f1830fb316515b90694c45728d702,4K,,,,
Fire Fly,Mythicon,NTSC,20dca534b997bf607d658e77fbb3c0ee,4K,,,,
Spinning Fireball,ZiMAG ,NTSC,d3171407c3a8bb401a3a62eb578f48fb,4K,,,,
Fishing Derby,Activision,NTSC,3c82e808fe0e6a006dc0c4e714d36209,F6,,,,
Fishing Derby,Atari ,PAL,7628d3cadeee0fd2e41e68b3b8fbe229,2K,,,,
Fishing,Atari ,PAL,2517827950fee41a3b9de60275c8aa6a,2K,,,,
Flag Capture,Atari ,PAL,f5445b52999e229e3789c39e7ee99947,2K,,,,
Flag Capture,Atari,NTSC,30512e0e83903fc05541d2f6a6a62654,2K,,,,
FlapPing,,NTSC,163ff70346c5f4ce4048453d3a2381db,4K,,,,
AKA Space Adventure,,NTSC,8786c1e56ef221d946c64f6b65b697e9,4K,,,,
AKA Space Adventure,,NTSC,8786c1e56ef221d946c64f6b65b697e9,4K,,,,
Football,Atari,NTSC,e549f1178e038fa88dc6d657dc441146,2K,,,,
Football,Atari,NTSC,d86deb100c6abed1588aa84b2f7b3a98,2K,,,,
NFL Football,Atari ,PAL,7608abdfd9b26f4a0ecec18b232bea54,2K,,,,
Fussball,Ariola ,PAL,cd568d6acb2f14477ebf7e59fb382292,4K,,,,
Forest,Sancho ,PAL,213e5e82ecb42af237cfed8612c128ac,4K,,,,
Lord of the Rings,Adam Thornton Hack,NTSC,e4b12deaafd1dbf5ac31afe4b8e9c233,4K,,,,
Frankenstein's Monster,Data Age,NTSC,15dd21c2608e0d7d9f54c0d3f08cca1f,4K,,,,
Freeway,Activision,NTSC,8e0ab801b1705a740b476b7f588c6d16,2K,,,,
Freeway,Activision,NTSC,851cc1f3c64eaedd10361ea26345acea,2K,,,,
Freeway Chicken,Atari ,PAL,914a8feaf6d0a1bbed9eb61d33817679,2K,,,,
Freeway Rabbit,Atari ,PAL,481d20ec22e7a63e818d5ef9679d548b,2K,,,,
Frogs and Flies,M Network,NTSC,dcc2956c7a39fdbf1e861fc5c595da0d,4K,,,,
Frogger II,Parker Bros,NTSC,27c6a2ca16ad7d814626ceea62fa8fb4,E0,E0,,,
Frogger,Parker Bros,NTSC,081e2c114c9c20b61acf25fc95c71bf4,4K,,,,
Frog Pond,Atari ,NTSC,5f73e7175474c1c22fb8030c3158e9b3,F8,,,,
Front Line,Coleco,NTSC,e556e07cc06c803f2955986f53ef63ed,F8,,,,
Frostbite,Activision,NTSC,4ca73eb959299471788f0b685c3ba0b5,4K,,,,
Fun with Numbers,Atari ,PAL,d816fea559b47f9a672604df06f9d2e3,2K,,,,
Fun with Numbers,Atari,NTSC,819aeeb9a2e11deb54e6de334f843894,2K,,,,
G.I. Joe - Cobra Strike,Parker Bros,NTSC,c1fdd44efda916414be3527a47752c75,4K,,,,
River Raid,Galaga Games,NTSC,01b09872dcd9556427761f0ed64aa42a,4K,,,,
Galaxian,Atari,NTSC,211774f4c5739042618be8ff67351177,F8,,,,
Hunt & Score - Memory Match,Atari,NTSC,102672bbd7e25cd79f4384dd7214c32b,2K,,,,
Gangster Alley,Spectravision,NTSC,20edcc3aa6c189259fa7e2f044a99c49,4K,,,,
